iter	Passed	Remaining
407	4545	6594
408	4557	6586
409	4569	6575
410	4580	6564
411	4591	6553
412	4602	6541
413	4613	6529
414	4624	6518
415	4634	6506
416	4646	6496
417	4656	6483
418	4666	6471
419	4679	6461
420	4689	6449
421	4699	6436
422	4709	6424
423	4719	6411
424	4730	6399
425	4741	6388
426	4751	6376
427	4762	6365
428	4773	6353
429	4783	6341
430	4795	6330
431	4806	6319
432	4816	6307
433	4827	6295
434	4839	6285
435	4851	6275
436	4862	6264
437	4875	6255
438	4886	6244
439	4897	6232
440	4908	6221
441	4919	6210
442	4930	6199
443	4942	6188
444	4954	6178
445	4965	6168
446	4976	6157
447	4988	6146
448	4999	6134
449	5008	6121
450	5018	6109
451	5029	6097
452	5040	6085
453	5050	6073
454	5060	6062
455	5074	6054
456	5086	6044
457	5099	6034
458	5109	6021
459	5119	6010
460	5129	5997
461	5140	5986
462	5151	5975
463	5161	5962
464	5172	5951
465	5185	5942
466	5196	5931
467	5208	5920
468	5222	5912
469	5235	5903
470	5247	5893
471	5258	5882
472	5269	5871
473	5281	5861
474	5293	5850
475	5304	5839
476	5314	5827
477	5326	5816
478	5337	5805
479	5348	5794
480	5358	5782
481	5369	5770
482	5380	5759
483	5391	5747
484	5401	5735
485	5412	5724
486	5422	5712
487	5435	5702
488	5445	5690
489	5455	5678
490	5466	5666
491	5477	5655
492	5487	5642
493	5498	5632
494	5509	5621
495	5519	5608
496	5531	5598
497	5544	5588
498	5556	5578
499	5568	5568
500	5581	5558
501	5593	5548
502	5606	5539
503	5619	5530
504	5634	5522
505	5647	5513
506	5659	5503
507	5670	5491
508	5681	5480
509	5691	5468
510	5701	5456
511	5711	5444
512	5722	5432
513	5732	5419
514	5742	5407
515	5751	5395
516	5763	5384
517	5775	5374
518	5787	5363
519	5798	5352
520	5810	5342
521	5821	5330
522	5830	5318
523	5842	5306
524	5852	5295
525	5864	5284
526	5875	5273
527	5887	5263
528	5898	5251
529	5910	5241
530	5921	5230
531	5932	5218
532	5943	5207
533	5955	5196
534	5966	5185
535	5978	5175
536	5990	5165
537	6001	5153
538	6014	5143
539	6027	5134
540	6039	5124
541	6049	5112
542	6060	5100
543	6072	5090
544	6083	5079
545	6094	5067
546	6105	5056
547	6115	5044
548	6127	5033
549	6138	5022
550	6148	5010
551	6159	4998
552	6169	4987
553	6179	4974
554	6190	4963
555	6200	4951
556	6211	4939
557	6223	4930
558	6234	4918
559	6245	4906
560	6256	4895
561	6268	4885
562	6279	4873
563	6290	4862
564	6303	4853
565	6317	4843
566	6329	4833
567	6342	4823
568	6356	4814
569	6368	4804
570	6381	4794
571	6393	4784
572	6407	4774
573	6421	4765
574	6434	4755
575	6448	4746
576	6463	4738
577	6477	4729
578	6489	4718
579	6503	4709
580	6517	4700
581	6529	4689
582	6540	4678
583	6552	4667
584	6563	4656
585	6574	4644
586	6584	4632
587	6596	4621
588	6605	4609
589	6616	4598
590	6626	4586
591	6636	4574
592	6648	4563
593	6659	4551
594	6671	4540
595	6683	4530
596	6694	4519
597	6705	4507
598	6718	4497
599	6730	4487
600	6743	4476
601	6755	4466
602	6767	4455
603	6779	4444
604	6791	4434
605	6801	4422
606	6812	4410
607	6823	4399
608	6834	4387
609	6845	4376
610	6857	4365
611	6868	4354
612	6880	4343
613	6891	4332
614	6902	4321
615	6913	4309
616	6924	4298
617	6934	4286
618	6946	4275
619	6956	4263
620	6967	4252
621	6979	4241
622	6990	4230
623	7001	4218
624	7013	4207
625	7024	4196
626	7034	4184
627	7045	4173
628	7056	4162
629	7068	4151
630	7081	4140
631	7093	4130
632	7106	4120
633	7118	4109
634	7130	4098
635	7144	4088
636	7155	4077
637	7166	4066
638	7177	4055
639	7188	4043
640	7198	4031
641	7210	4020
642	7220	4008
643	7230	3996
644	7241	3985
645	7252	3974
646	7262	3962
647	7273	3951
648	7285	3940
649	7297	3929
650	7308	3917
651	7319	3906
652	7329	3894
653	7340	3883
654	7351	3872
655	7361	3860
656	7372	3848
657	7382	3837
658	7393	3825
659	7406	3815
660	7416	3803
661	7427	3792
662	7438	3781
663	7448	3769
664	7459	3757
665	7470	3746
666	7480	3734
667	7491	3723
668	7502	3711
669	7513	3700
670	7524	3689
671	7535	3677
672	7546	3666
673	7557	3655
674	7568	3643
675	7578	3632
676	7589	3620
677	7600	3609
678	7611	3598
679	7621	3586
680	7633	3575
681	7643	3563
682	7654	3552
683	7665	3541
684	7675	3529
685	7686	3518
686	7698	3507
687	7711	3497
688	7723	3486
689	7735	3475
690	7747	3464
691	7758	3453
692	7770	3442
693	7782	3431
694	7793	3420
695	7803	3408
696	7815	3397
697	7825	3385
698	7835	3374
699	7847	3363
700	7857	3351
701	7867	3339
702	7878	3328
703	7888	3316
704	7899	3305
705	7909	3293
706	7920	3282
707	7931	3271
708	7942	3260
709	7953	3248
710	7963	3237
711	7974	3225
712	7983	3213
713	7994	3202
714	8005	3190
715	8016	3179
716	8026	3168
717	8037	3156
718	8047	3145
719	8058	3133
720	8068	3122
721	8079	3111
722	8089	3099
723	8099	3087
724	8110	3076
725	8121	3064
726	8132	3053
727	8143	3042
728	8154	3031
729	8164	3019
730	8174	3008
731	8185	2996
732	8195	2985
733	8205	2973
734	8215	2962
735	8226	2950
736	8236	2939
737	8247	2927
738	8257	2916
739	8267	2904
740	8278	2893
741	8289	2882
742	8300	2871
743	8310	2859
744	8321	2848
745	8333	2837
746	8344	2826
747	8356	2815
748	8369	2804
749	8383	2794
750	8396	2783
751	8409	2773
752	8422	2762
753	8435	2752
754	8447	2741
755	8462	2731
756	8475	2720
757	8489	2710
758	8503	2699
759	8515	2689
760	8529	2678
761	8541	2667
762	8554	2657
763	8566	2646
764	8577	2634
765	8587	2623
766	8598	2611
767	8608	2600
768	8618	2589
769	8631	2578
770	8643	2567
771	8656	2556
772	8667	2545
773	8680	2534
774	8690	2523
775	8701	2511
776	8713	2500
777	8726	2490
778	8738	2479
779	8751	2468
780	8762	2457
781	8772	2445
782	8782	2434
783	8793	2422
784	8803	2411
785	8814	2399
786	8825	2388
787	8835	2377
788	8845	2365
789	8855	2354
790	8868	2343
791	8880	2332
792	8892	2321
793	8903	2309
794	8915	2298
795	8927	2287
796	8938	2276
797	8949	2265
798	8961	2254
799	8972	2243
800	8983	2231
801	8993	2220
802	9004	2209
803	9014	2197
804	9026	2186
805	9036	2174
806	9045	2163
807	9057	2152
808	9067	2140
809	9078	2129
810	9090	2118
811	9101	2107
812	9111	2095
813	9122	2084
814	9132	2073
815	9142	2061
816	9153	2050
817	9164	2038
818	9175	2027
819	9185	2016
820	9194	2004
821	9205	1993
822	9217	1982
823	9226	1970
824	9264	1965
825	9290	1957
826	9311	1947
827	9327	1937
828	9341	1926
829	9356	1916
830	9371	1905
831	9383	1894
832	9394	1883
833	9405	1872
834	9417	1860
835	9428	1849
836	9438	1838
837	9449	1826
838	9460	1815
839	9470	1803
840	9480	1792
841	9491	1781
842	9501	1769
843	9511	1758
844	9521	1746
845	9531	1735
846	9543	1723
847	9553	1712
848	9564	1701
849	9575	1689
850	9586	1678
851	9596	1667
852	9606	1655
853	9617	1644
854	9627	1632
855	9637	1621
856	9648	1610
857	9660	1598
858	9673	1587
859	9687	1576
860	9699	1565
861	9712	1554
862	9725	1543
863	9737	1532
864	9747	1521
865	9757	1509
866	9767	1498
867	9777	1486
868	9788	1475
869	9808	1465
870	9820	1454
871	9832	1443
872	9845	1432
873	9857	1421
874	9869	1409
875	9882	1398
876	9896	1387
877	9910	1377
878	9923	1365
879	9934	1354
880	9947	1343
881	9959	1332
882	9971	1321
883	9984	1310
884	10000	1299
885	10014	1288
886	10026	1277
887	10039	1266
888	10053	1255
889	10065	1244
890	10078	1232
891	10092	1221
892	10106	1210
893	10119	1199
894	10131	1188
895	10145	1177
896	10158	1166
897	10172	1155
898	10188	1144
899	10201	1133
900	10214	1122
901	10225	1111
902	10239	1099
903	10252	1088
904	10266	1077
905	10279	1066
906	10292	1055
907	10306	1044
908	10319	1033
909	10331	1021
910	10343	1010
911	10357	999
912	10370	988
913	10382	976
914	10393	965
915	10405	954
916	10416	942
917	10428	931
918	10439	920
919	10451	908
920	10463	897
921	10475	886
922	10487	874
923	10500	863
924	10513	852
925	10527	841
926	10540	830
927	10554	818
928	10568	807
929	10580	796
930	10593	785
931	10607	773
932	10620	762
933	10634	751
934	10648	740
935	10661	728
936	10674	717
937	10687	706
938	10700	695
939	10714	683
940	10726	672
941	10737	661
942	10747	649
943	10758	638
944	10768	626
945	10778	615
946	10788	603
947	10799	592
948	10809	580
949	10819	569
950	10831	558
951	10841	546
952	10852	535
953	10862	523
954	10872	512
955	10882	500
956	10892	489
957	10903	478
958	10913	466
959	10924	455
960	10934	443
961	10944	432
962	10955	420
963	10965	409
964	10977	398
965	10988	386
966	10998	375
967	11008	363
968	11019	352
969	11031	341
970	11043	329
971	11056	318
972	11068	307
973	11081	295
974	11094	284
975	11106	273
976	11117	261
977	11128	250
978	11140	238
979	11150	227
980	11162	216
981	11173	204
982	11184	193
983	11194	182
984	11205	170
985	11216	159
986	11227	147
987	11238	136
988	11248	125
989	11258	113
990	11270	102
991	11280	90
992	11290	79
993	11300	68
994	11310	56
995	11322	45
996	11332	34
997	11341	22
998	11353	11
999	11363	0
